REF_AREA,Geographic area,INDICATOR,Indicator,UNIT_MULTIPLIER,Unit multiplier,UNIT_MEASURE,Unit of measure,TIME_PERIOD,OBS_VALUE,OBS_FOOTNOTE,DATA_SOURCE,OBS_STATUS,Observation Status
AFG,Afghanistan,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Extremely High,Value: 9.1,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
ALB,Albania,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Extremely High,Value: 8.7,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
DZA,Algeria,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Extremely High,Value: 9.5,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
AGO,Angola,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Extremely High,Value: 8.3,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
ARG,Argentina,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,High,Value: 6.4,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
ARM,Armenia,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Extremely High,Value: 9.0,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
AUS,Australia,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Extremely High,Value: 8.0,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
AUT,Austria,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Low,Value: 0.0,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
AZE,Azerbaijan,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,High,Value: 6.9,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
BHR,Bahrain,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Extremely High,Value: 8.9,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
BGD,Bangladesh,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,High,Value: 6.8,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
BLR,Belarus,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Low,Value: 0.0,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
BEL,Belgium,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Low,Value: 0.0,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
BLZ,Belize,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Low,Value: 0.0,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
BEN,Benin,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Medium-High,Value: 4.2,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
BTN,Bhutan,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Low,Value: 0.0,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
BOL,Bolivia (Plurinational State of),CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Medium-High,Value: 4.9,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
BIH,Bosnia and Herzegovina,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Low,Value: 0.0,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
BWA,Botswana,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Extremely High,Value: 9.2,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
BRA,Brazil,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Extremely High,Value: 7.8,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
BRN,Brunei Darussalam,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Low,Value: 0.4,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
BGR,Bulgaria,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,High,Value: 6.6,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
BFA,Burkina Faso,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Extremely High,Value: 9.7,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
BDI,Burundi,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Low,Value: 0.0,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
KHM,Cambodia,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Low-Medium,Value: 3.7,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
CMR,Cameroon,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Medium-High,Value: 4.9,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
CAN,Canada,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Medium-High,Value: 5.4,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
CAF,Central African Republic,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Low-Medium,Value: 2.5,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
TCD,Chad,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,High,Value: 7.0,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
CHL,Chile,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Extremely High,Value: 9.2,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
CHN,China,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Extremely High,Value: 8.3,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
COL,Colombia,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Medium-High,Value: 5.1,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
COG,Congo,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Low-Medium,Value: 3.6,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
CRI,Costa Rica,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Medium-High,Value: 4.7,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
CIV,Côte d'Ivoire,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Medium-High,Value: 4.4,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
HRV,Croatia,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Low,Value: 0.0,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
CUB,Cuba,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Medium-High,Value: 5.3,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
CYP,Cyprus,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Extremely High,Value: 8.9,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
CZE,Czechia,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Low,Value: 0.0,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
PRK,Democratic People's Republic of Korea,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Extremely High,Value: 8.2,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
COD,Democratic Republic of the Congo,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Medium-High,Value: 3.8,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
DNK,Denmark,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Low,Value: 0.0,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
DJI,Djibouti,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Low-Medium,Value: 3.2,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
DOM,Dominican Republic,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Low,Value: 0.0,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
ECU,Ecuador,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Medium-High,Value: 5.3,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
EGY,Egypt,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,High,Value: 6.2,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
SLV,El Salvador,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Medium-High,Value: 5.4,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
GNQ,Equatorial Guinea,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Low,Value: 0.0,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
ERI,Eritrea,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Extremely High,Value: 8.8,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
EST,Estonia,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Low,Value: 0.0,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
SWZ,Eswatini,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Medium-High,Value: 4.4,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
ETH,Ethiopia,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Extremely High,Value: 8.0,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
FIN,Finland,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Low-Medium,Value: 3.6,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
FRA,France,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,High,Value: 6.2,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
GAB,Gabon,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Low,Value: 0.0,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
GMB,Gambia,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Low,Value: 2.0,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
GEO,Georgia,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Low,Value: 0.0,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
DEU,Germany,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Low,Value: 0.0,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
GHA,Ghana,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Extremely High,Value: 7.8,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
GRC,Greece,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Extremely High,Value: 9.4,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
GTM,Guatemala,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,High,Value: 6.5,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
GIN,Guinea,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Medium-High,Value: 4.1,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
GNB,Guinea-Bissau,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Low,Value: 0.0,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
GUY,Guyana,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Low-Medium,Value: 2.2,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
HTI,Haiti,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Low-Medium,Value: 3.7,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
HND,Honduras,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Low,Value: 0.0,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
HUN,Hungary,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Low,Value: 0.0,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
ISL,Iceland,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Low,Value: 0.0,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
IND,India,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Extremely High,Value: 9.1,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
IDN,Indonesia,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,High,Value: 6.5,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
IRN,Iran (Islamic Republic of),CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Extremely High,Value: 10.0,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
