indicator_code,indicator_name,ref_area,year,value,unit,publisher,upstream_source,source_last_updated,retrieved_at,retrieval_mode,query_url
EG.FEC.RNEW.ZS,Renewable energy share,KEN,2013,74.3,% of final energy,World Bank World Development Indicators (WDI),World Bank/IEA -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/EG.FEC.RNEW.ZS?format=json&date=2010:2023
EG.FEC.RNEW.ZS,Renewable energy share,KEN,2014,71.8,% of final energy,World Bank World Development Indicators (WDI),World Bank/IEA -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/EG.FEC.RNEW.ZS?format=json&date=2010:2023
EG.FEC.RNEW.ZS,Renewable energy share,KEN,2015,69.2,% of final energy,World Bank World Development Indicators (WDI),World Bank/IEA -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/EG.FEC.RNEW.ZS?format=json&date=2010:2023
EG.FEC.RNEW.ZS,Renewable energy share,KEN,2016,68.3,% of final energy,World Bank World Development Indicators (WDI),World Bank/IEA -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/EG.FEC.RNEW.ZS?format=json&date=2010:2023
EG.FEC.RNEW.ZS,Renewable energy share,KEN,2017,68.1,% of final energy,World Bank World Development Indicators (WDI),World Bank/IEA -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/EG.FEC.RNEW.ZS?format=json&date=2010:2023
EG.FEC.RNEW.ZS,Renewable energy share,KEN,2018,68.7,% of final energy,World Bank World Development Indicators (WDI),World Bank/IEA -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/EG.FEC.RNEW.ZS?format=json&date=2010:2023
EG.FEC.RNEW.ZS,Renewable energy share,KEN,2019,68.1,% of final energy,World Bank World Development Indicators (WDI),World Bank/IEA -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/EG.FEC.RNEW.ZS?format=json&date=2010:2023
EG.FEC.RNEW.ZS,Renewable energy share,KEN,2020,69.0,% of final energy,World Bank World Development Indicators (WDI),World Bank/IEA -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/EG.FEC.RNEW.ZS?format=json&date=2010:2023
EG.FEC.RNEW.ZS,Renewable energy share,KEN,2021,67.7,% of final energy,World Bank World Development Indicators (WDI),World Bank/IEA -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/EG.FEC.RNEW.ZS?format=json&date=2010:2023
EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita,KEN,2010,0.32,t CO2e/capita,World Bank World Development Indicators (WDI),EDGAR / WB climate -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2010:2023
EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita,KEN,2011,0.32,t CO2e/capita,World Bank World Development Indicators (WDI),EDGAR / WB climate -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2010:2023
EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita,KEN,2012,0.29,t CO2e/capita,World Bank World Development Indicators (WDI),EDGAR / WB climate -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2010:2023
EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita,KEN,2013,0.31,t CO2e/capita,World Bank World Development Indicators (WDI),EDGAR / WB climate -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2010:2023
EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita,KEN,2014,0.34,t CO2e/capita,World Bank World Development Indicators (WDI),EDGAR / WB climate -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2010:2023
EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita,KEN,2015,0.36,t CO2e/capita,World Bank World Development Indicators (WDI),EDGAR / WB climate -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2010:2023
EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita,KEN,2016,0.38,t CO2e/capita,World Bank World Development Indicators (WDI),EDGAR / WB climate -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2010:2023
EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita,KEN,2017,0.39,t CO2e/capita,World Bank World Development Indicators (WDI),EDGAR / WB climate -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2010:2023
EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita,KEN,2018,0.38,t CO2e/capita,World Bank World Development Indicators (WDI),EDGAR / WB climate -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2010:2023
EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita,KEN,2019,0.38,t CO2e/capita,World Bank World Development Indicators (WDI),EDGAR / WB climate -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2010:2023
EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita,KEN,2020,0.37,t CO2e/capita,World Bank World Development Indicators (WDI),EDGAR / WB climate -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2010:2023
EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita,KEN,2021,0.4,t CO2e/capita,World Bank World Development Indicators (WDI),EDGAR / WB climate -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2010:2023
EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita,KEN,2022,0.41,t CO2e/capita,World Bank World Development Indicators (WDI),EDGAR / WB climate -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2010:2023
EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita,KEN,2023,0.38,t CO2e/capita,World Bank World Development Indicators (WDI),EDGAR / WB climate -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2010:2023
