indicator_code,indicator_name,ref_area,year,value,unit,publisher,upstream_source,source_last_updated,retrieved_at,retrieval_mode,query_url
SH.STA.MMRT,Maternal mortality ratio,KEN,2017,186,"per 100,000 live births",World Bank World Development Indicators (WDI),WHO/UN MMEIG -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.STA.MMRT?format=json&date=2010:2023
SH.STA.MMRT,Maternal mortality ratio,KEN,2018,183,"per 100,000 live births",World Bank World Development Indicators (WDI),WHO/UN MMEIG -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.STA.MMRT?format=json&date=2010:2023
SH.STA.MMRT,Maternal mortality ratio,KEN,2019,176,"per 100,000 live births",World Bank World Development Indicators (WDI),WHO/UN MMEIG -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.STA.MMRT?format=json&date=2010:2023
SH.STA.MMRT,Maternal mortality ratio,KEN,2020,184,"per 100,000 live births",World Bank World Development Indicators (WDI),WHO/UN MMEIG -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.STA.MMRT?format=json&date=2010:2023
SH.STA.MMRT,Maternal mortality ratio,KEN,2021,183,"per 100,000 live births",World Bank World Development Indicators (WDI),WHO/UN MMEIG -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.STA.MMRT?format=json&date=2010:2023
SH.STA.MMRT,Maternal mortality ratio,KEN,2022,155,"per 100,000 live births",World Bank World Development Indicators (WDI),WHO/UN MMEIG -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.STA.MMRT?format=json&date=2010:2023
SH.STA.MMRT,Maternal mortality ratio,KEN,2023,149,"per 100,000 live births",World Bank World Development Indicators (WDI),WHO/UN MMEIG -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.STA.MMRT?format=json&date=2010:2023
SH.DYN.MORT,Under-5 mortality rate,KEN,2010,53.1,"per 1,000 live births",World Bank World Development Indicators (WDI),"UN IGME (UN Inter-agency Group for Child Mortality Estimation, led by UNICEF/WHO/UN DESA/World Bank)",2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.DYN.MORT?format=json&date=2010:2023
SH.DYN.MORT,Under-5 mortality rate,KEN,2011,51.7,"per 1,000 live births",World Bank World Development Indicators (WDI),"UN IGME (UN Inter-agency Group for Child Mortality Estimation, led by UNICEF/WHO/UN DESA/World Bank)",2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.DYN.MORT?format=json&date=2010:2023
SH.DYN.MORT,Under-5 mortality rate,KEN,2012,50.7,"per 1,000 live births",World Bank World Development Indicators (WDI),"UN IGME (UN Inter-agency Group for Child Mortality Estimation, led by UNICEF/WHO/UN DESA/World Bank)",2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.DYN.MORT?format=json&date=2010:2023
SH.DYN.MORT,Under-5 mortality rate,KEN,2013,49.4,"per 1,000 live births",World Bank World Development Indicators (WDI),"UN IGME (UN Inter-agency Group for Child Mortality Estimation, led by UNICEF/WHO/UN DESA/World Bank)",2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.DYN.MORT?format=json&date=2010:2023
SH.DYN.MORT,Under-5 mortality rate,KEN,2014,48.3,"per 1,000 live births",World Bank World Development Indicators (WDI),"UN IGME (UN Inter-agency Group for Child Mortality Estimation, led by UNICEF/WHO/UN DESA/World Bank)",2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.DYN.MORT?format=json&date=2010:2023
SH.DYN.MORT,Under-5 mortality rate,KEN,2015,46.8,"per 1,000 live births",World Bank World Development Indicators (WDI),"UN IGME (UN Inter-agency Group for Child Mortality Estimation, led by UNICEF/WHO/UN DESA/World Bank)",2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.DYN.MORT?format=json&date=2010:2023
SH.DYN.MORT,Under-5 mortality rate,KEN,2016,45.5,"per 1,000 live births",World Bank World Development Indicators (WDI),"UN IGME (UN Inter-agency Group for Child Mortality Estimation, led by UNICEF/WHO/UN DESA/World Bank)",2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.DYN.MORT?format=json&date=2010:2023
SH.DYN.MORT,Under-5 mortality rate,KEN,2017,44.7,"per 1,000 live births",World Bank World Development Indicators (WDI),"UN IGME (UN Inter-agency Group for Child Mortality Estimation, led by UNICEF/WHO/UN DESA/World Bank)",2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.DYN.MORT?format=json&date=2010:2023
SH.DYN.MORT,Under-5 mortality rate,KEN,2018,43.7,"per 1,000 live births",World Bank World Development Indicators (WDI),"UN IGME (UN Inter-agency Group for Child Mortality Estimation, led by UNICEF/WHO/UN DESA/World Bank)",2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.DYN.MORT?format=json&date=2010:2023
SH.DYN.MORT,Under-5 mortality rate,KEN,2019,42.7,"per 1,000 live births",World Bank World Development Indicators (WDI),"UN IGME (UN Inter-agency Group for Child Mortality Estimation, led by UNICEF/WHO/UN DESA/World Bank)",2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.DYN.MORT?format=json&date=2010:2023
SH.DYN.MORT,Under-5 mortality rate,KEN,2020,42.1,"per 1,000 live births",World Bank World Development Indicators (WDI),"UN IGME (UN Inter-agency Group for Child Mortality Estimation, led by UNICEF/WHO/UN DESA/World Bank)",2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.DYN.MORT?format=json&date=2010:2023
SH.DYN.MORT,Under-5 mortality rate,KEN,2021,41.3,"per 1,000 live births",World Bank World Development Indicators (WDI),"UN IGME (UN Inter-agency Group for Child Mortality Estimation, led by UNICEF/WHO/UN DESA/World Bank)",2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.DYN.MORT?format=json&date=2010:2023
SH.DYN.MORT,Under-5 mortality rate,KEN,2022,40.5,"per 1,000 live births",World Bank World Development Indicators (WDI),"UN IGME (UN Inter-agency Group for Child Mortality Estimation, led by UNICEF/WHO/UN DESA/World Bank)",2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.DYN.MORT?format=json&date=2010:2023
SH.DYN.MORT,Under-5 mortality rate,KEN,2023,39.6,"per 1,000 live births",World Bank World Development Indicators (WDI),"UN IGME (UN Inter-agency Group for Child Mortality Estimation, led by UNICEF/WHO/UN DESA/World Bank)",2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.DYN.MORT?format=json&date=2010:2023
