indicator_code,indicator_name,ref_area,year,value,unit,publisher,upstream_source,source_last_updated,retrieved_at,retrieval_mode,query_url
SH.STA.BASS.ZS,Basic sanitation coverage,KEN,2013,33.0,% of population,World Bank World Development Indicators (WDI),WHO/UNICEF JMP -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.STA.BASS.ZS?format=json&date=2010:2023
SH.STA.BASS.ZS,Basic sanitation coverage,KEN,2014,33.7,% of population,World Bank World Development Indicators (WDI),WHO/UNICEF JMP -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.STA.BASS.ZS?format=json&date=2010:2023
SH.STA.BASS.ZS,Basic sanitation coverage,KEN,2015,34.4,% of population,World Bank World Development Indicators (WDI),WHO/UNICEF JMP -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.STA.BASS.ZS?format=json&date=2010:2023
SH.STA.BASS.ZS,Basic sanitation coverage,KEN,2016,35.1,% of population,World Bank World Development Indicators (WDI),WHO/UNICEF JMP -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.STA.BASS.ZS?format=json&date=2010:2023
SH.STA.BASS.ZS,Basic sanitation coverage,KEN,2017,35.9,% of population,World Bank World Development Indicators (WDI),WHO/UNICEF JMP -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.STA.BASS.ZS?format=json&date=2010:2023
SH.STA.BASS.ZS,Basic sanitation coverage,KEN,2018,36.6,% of population,World Bank World Development Indicators (WDI),WHO/UNICEF JMP -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.STA.BASS.ZS?format=json&date=2010:2023
SH.STA.BASS.ZS,Basic sanitation coverage,KEN,2019,37.3,% of population,World Bank World Development Indicators (WDI),WHO/UNICEF JMP -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.STA.BASS.ZS?format=json&date=2010:2023
SH.STA.BASS.ZS,Basic sanitation coverage,KEN,2020,38.0,% of population,World Bank World Development Indicators (WDI),WHO/UNICEF JMP -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.STA.BASS.ZS?format=json&date=2010:2023
SH.STA.BASS.ZS,Basic sanitation coverage,KEN,2021,38.7,% of population,World Bank World Development Indicators (WDI),WHO/UNICEF JMP -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.STA.BASS.ZS?format=json&date=2010:2023
SH.STA.BASS.ZS,Basic sanitation coverage,KEN,2022,39.5,% of population,World Bank World Development Indicators (WDI),WHO/UNICEF JMP -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.STA.BASS.ZS?format=json&date=2010:2023
SH.STA.BASS.ZS,Basic sanitation coverage,KEN,2023,40.2,% of population,World Bank World Development Indicators (WDI),WHO/UNICEF JMP -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SH.STA.BASS.ZS?format=json&date=2010:2023
