indicator_code,indicator_name,ref_area,year,value,unit,publisher,upstream_source,source_last_updated,retrieved_at,retrieval_mode,query_url
SE.PRM.CMPT.ZS,Primary completion rate,KEN,2005,87.8,% of relevant age group,World Bank World Development Indicators (WDI),UNESCO UIS -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SE.PRM.CMPT.ZS?format=json&date=2010:2023
SE.PRM.CMPT.ZS,Primary completion rate,KEN,2014,99.0,% of relevant age group,World Bank World Development Indicators (WDI),UNESCO UIS -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SE.PRM.CMPT.ZS?format=json&date=2010:2023
SE.PRM.CMPT.ZS,Primary completion rate,KEN,2015,101.3,% of relevant age group,World Bank World Development Indicators (WDI),UNESCO UIS -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SE.PRM.CMPT.ZS?format=json&date=2010:2023
SE.PRM.CMPT.ZS,Primary completion rate,KEN,2016,102.2,% of relevant age group,World Bank World Development Indicators (WDI),UNESCO UIS -> WDI,2026-04-08,2026-06-20T14:52:41Z,bundled-cache,https://api.worldbank.org/v2/country/KEN/indicator/SE.PRM.CMPT.ZS?format=json&date=2010:2023
